NAME                              VERSION                               TYPE                     
Simple Launcher                   1.1.0.14                              binary  (+5 duplicates)  
adduser                           3.152                                 deb                      
aiofiles                          25.1.0                                python                   
annotated-doc                     0.0.4                                 python                   
annotated-types                   0.7.0                                 python                   
anyio                             4.12.0                                python                   
apt                               3.0.3                                 deb                      
autocommand                       2.2.2                                 python                   
autoconf                          2.72-3.1                              deb                      
automake                          1:1.17-4                              deb                      
autotools-dev                     20240727.1                            deb                      
azul-bedrock                      9.0.28                                python                   
azul-plugin-retrohunt             9.0.44+g48ffad528.d20251216           python                   
azul-runner                       9.0.31                                python                   
azul-security                     9.0.11                                python                   
backports-tarfile                 1.2.0                                 python                   
base-files                        13.8+deb13u2                          deb                      
base-passwd                       3.6.7                                 deb                      
bash                              5.2.37-2+b5                           deb                      
binutils                          2.44-3                                deb                      
binutils-common                   2.44-3                                deb                      
binutils-x86-64-linux-gnu         2.44-3                                deb                      
bitarray                          3.8.0                                 python                   
bsdutils                          1:2.41-5                              deb                      
build                             1.3.0                                 python                   
build-essential                   12.12                                 deb                      
bzip2                             1.0.8-6                               deb                      
ca-certificates                   20250419                              deb                      
cachetools                        6.2.4                                 python                   
cart                              1.2.3                                 python                   
certifi                           2025.11.12                            python                   
cli                               UNKNOWN                               binary                   
cli-32                            UNKNOWN                               binary                   
cli-64                            UNKNOWN                               binary                   
cli-arm64                         UNKNOWN                               binary                   
click                             8.3.1                                 python                   
coreutils                         9.7-3                                 deb                      
cpp                               4:14.2.0-1                            deb                      
cpp-14                            14.2.0-19                             deb                      
cpp-14-x86-64-linux-gnu           14.2.0-19                             deb                      
cpp-x86-64-linux-gnu              4:14.2.0-1                            deb                      
dash                              0.5.12-12                             deb                      
debconf                           1.5.91                                deb                      
debian-archive-keyring            2025.1                                deb                      
debianutils                       5.23.2                                deb                      
diffutils                         1:3.10-4                              deb                      
dpkg                              1.22.21                               deb                      
dpkg-dev                          1.22.21                               deb                      
fastapi                           0.124.4                               python                   
file                              1:5.46-5                              deb                      
findutils                         4.10.0-3                              deb                      
g++                               4:14.2.0-1                            deb                      
g++-14                            14.2.0-19                             deb                      
g++-14-x86-64-linux-gnu           14.2.0-19                             deb                      
g++-x86-64-linux-gnu              4:14.2.0-1                            deb                      
gcc                               4:14.2.0-1                            deb                      
gcc-14                            14.2.0-19                             deb                      
gcc-14-base                       14.2.0-19                             deb                      
gcc-14-x86-64-linux-gnu           14.2.0-19                             deb                      
gcc-x86-64-linux-gnu              4:14.2.0-1                            deb                      
gfortran-14                       14.2.0-19                             deb                      
gfortran-14-x86-64-linux-gnu      14.2.0-19                             deb                      
grep                              3.11-4                                deb                      
gui                               UNKNOWN                               binary                   
gui-32                            UNKNOWN                               binary                   
gui-64                            UNKNOWN                               binary                   
gui-arm64                         UNKNOWN                               binary                   
gzip                              1.13-1                                deb                      
h11                               0.16.0                                python                   
hostname                          3.25                                  deb                      
httpcore                          1.0.9                                 python                   
httpx                             0.28.1                                python                   
