NAME                                     VERSION                         TYPE                     
MONO CLI                                 4.0.0.0                         dotnet                   
Microsoft.NETCore.App.Runtime.linux-x64  9.0.11                          dotnet                   
Mono Common Language Infrastructure      4.6.57.0                        dotnet  (+6 duplicates)  
MonoGetAssemblyName                      0.0.0.0                         dotnet                   
Simple Launcher                          1.1.0.14                        binary  (+5 duplicates)  
adduser                                  3.134                           deb                      
annotated-doc                            0.0.4                           python                   
annotated-types                          0.7.0                           python                   
anyio                                    4.11.0                          python                   
apt                                      2.6.1                           deb                      
autocommand                              2.2.2                           python                   
azul-bedrock                             9.0.15                          python                   
azul-plugin-maco                         9.0.15+gb1ef59bb3.d20251122     python                   
azul-runner                              9.0.14                          python                   
backports-tarfile                        1.2.0                           python                   
base-files                               12.4+deb12u12                   deb                      
base-passwd                              3.6.1                           deb                      
bash                                     5.2.15-2+b9                     deb                      
binutils                                 2.40-2                          deb                      
binutils-common                          2.40-2                          deb                      
binutils-x86-64-linux-gnu                2.40-2                          deb                      
bitarray                                 3.8.0                           python                   
bsdutils                                 1:2.38.1-5+deb12u3              deb                      
build                                    1.3.0                           python                   
build-essential                          12.9                            deb                      
bzip2                                    1.0.8-5+b1                      deb                      
ca-certificates                          20230311+deb12u1                deb                      
cabextract                               1.9-3                           deb                      
cachetools                               6.2.2                           python                   
cart                                     1.2.3                           python                   
certifi                                  2025.11.12                      python                   
cli                                      UNKNOWN                         binary                   
cli-32                                   UNKNOWN                         binary                   
cli-64                                   UNKNOWN                         binary                   
cli-arm64                                UNKNOWN                         binary                   
cli-common                               0.10+nmu1                       deb                      
cmake                                    3.25.1-1                        deb                      
cmake-data                               3.25.1-1                        deb                      
coreutils                                9.1-1                           deb                      
cpp                                      4:12.2.0-3                      deb                      
cpp-12                                   12.2.0-14+deb12u1               deb                      
dash                                     0.5.12-2                        deb                      
debconf                                  1.5.82                          deb                      
debian-archive-keyring                   2023.3+deb12u2                  deb                      
debianutils                              5.7-0.5~deb12u1                 deb                      
diffutils                                1:3.8-4                         deb                      
dill                                     0.4.0                           python                   
dnlib                                    2.1.0.0                         dotnet  (+1 duplicate)   
dotnet-host                              10.0.0                          deb                      
dotnet-hostfxr-9.0                       9.0.11-1                        deb                      
dotnet-runtime-9.0                       9.0.11-1                        deb                      
dotnet-runtime-deps-9.0                  9.0.11-1                        deb                      
dpkg                                     1.21.22                         deb                      
dpkg-dev                                 1.21.22                         deb                      
e2fsprogs                                1.47.0-2+b2                     deb                      
fastapi                                  0.121.3                         python                   
findutils                                4.9.0-4                         deb                      
g++                                      4:12.2.0-3                      deb                      
g++-12                                   12.2.0-14+deb12u1               deb                      
gacutil                                  0.0.0.0                         dotnet                   
gcc                                      4:12.2.0-3                      deb                      
gcc-12                                   12.2.0-14+deb12u1               deb                      
gcc-12-base                              12.2.0-14+deb12u1               deb                      
git                                      1:2.39.5-0+deb12u2              deb                      
git-man                                  1:2.39.5-0+deb12u2              deb                      
gpgv                                     2.2.40-1.1+deb12u1              deb                      
grep                                     3.8-5                           deb                      
gui                                      UNKNOWN                         binary                   
gui-32                                   UNKNOWN                         binary                   
gui-64                                   UNKNOWN                         binary                   
gui-arm64                                UNKNOWN                         binary                   
gzip                                     1.12-1                          deb                      
h11                                      0.16.0                          python                   
hostname                                 3.23+nmu1                       deb                      
httpcore                                 1.0.9                           python                   
httpx                                    0.28.1                          python                   
idna                                     3.11                            python                   
importlib-metadata                       8.0.0                           python                   
